石	Y
月	U
钅	I
纟	O
讠	P
氵	H
亻	J
扌	K
木	L
忄	N
山	M
儿	rj
而	rj
耳	rj
二	rj
邑	rj
牙	rji
言	rji
羊	rji
业	rji
衣	rji
音	rji
尢	rji
酉	rji
又	rji
页	rji
衤	rji
瓦	rju
王	rju
韦	rju
文	rju
用	rjv
羽	rjv
雨	rjv
玉	rjv
聿	rjv
鱼	rjv
丷	b
八	b
白	b
勹	b
贝	b
卜	b
不	b
鼻	bi
匕	bi
髟	bi
冫	bi
疒	bi
艹	c
廾	c
厂	ch
车	ch
齿	ch
彳	ch
赤	ch
虫	chu
巛	chu
寸	cu
大	d
歹	d
刂	d
⺈	d
刀	d
斗	d
豆	d
丶	di
方	f
非	f
风	f
缶	f
阜	f
父	f
宀	g
戈	g
革	g
鬲	g
艮	g
弓	gu
工	gu
骨	gu
谷	gu
瓜	gu
广	gu
鬼	gu
禾	h
黑	h
一	h
虍	hu
户	hu
火	hu
灬	hu
几	ji
己	ji
见	ji
角	ji
卩	ji
巾	ji
金	ji
斤	ji
臼	ji
口	k
囗	ku
匚	ku
冂	ku
凵	ku
老	l
耒	l
力	li
立	li
龙	lu
鹿	lu
马	m
毛	m
矛	m
门	m
母	m
目	m
米	mi
冖	mi
皿	mi
鸟	ni
牛	ni
女	nv
攵	p
夊	p
皮	pi
片	pi
丿	pi
气	qi
欠	qi
犭	qv
犬	qv
人	r
日	r
肉	r
三	s
糸	s
厶	s
罒	s
彡	sh
舌	sh
身	sh
尸	sh
十	sh
食	sh
矢	sh
豕	sh
礻	sh
士	sh
示	sh
手	sh
首	sh
饣	sh
殳	shu
鼠	shu
丨	shu
水	shu
亠	t
田	ti
土	tu
夕	xi
覀	xi
香	xi
小	xi
⺌	xi
心	xi
辛	xi
行	xi
穴	xv
彐	xv
血	xv
子	z
辶	z
走	z
廴	z
乛	zh
支	zh
止	zh
豸	zh
舟	zh
竹	zhu
爪	zhu
隹	zhu
足	zu
