b	不 不是
bi	并 必须
p	跑 朋友
pi	批 平均
m	们 没有
mi	名 明显
f	法 发展
d	的 但是
di	地 地方
du	对 对于
t	他 他们
ti	条 条件
tu	同 通过
n	那 那么
ni	你 你们
nu	弄 农业
nv	女 女人
l	了 来说
li	两 历史
lu	路 落后
lv	率 绿色
g	个 各种
gu	过 工作
k	看 可以
ku	快 控制
h	和 还是
hu	或 活动
gi	就 就是
gv	句 具有
ki	其 起来
kv	去 全国
hi	小 现在
hv	学 需要
zj	这 这个
zju	中 主要
cj	成 成为
cju	出 出来
sj	是 什么
sju	说 水平
r	人 人们
ru	如 如果
z	在 自己
zu	最 作用
c	才 才能
cu	从 存在
s	三 思想
su	所 所以
rj	而 而且
rji	一 一个
rju	我 我们
rjv	与 于是
douw	都
rjioux	有
rjiex	也
haox	好
rjvengq	用
laiy	来
rjiaoq	要
hueiq	会
hiangx	想
meiy	没
rjaw	啊
baw	吧
geix	给
nengy	能
sjangq	上
daoq	到
duew	多
maw	吗
lix	里
beiq	被
zueq	做
rjiouq	又
rangq	让
haiy	还
dax	打
bax	把
zjew	着
daq	大
hiex	写
zq	自
gaox	搞
goux	狗
maow	猫
zjenw	真
hiaq	下
danq	但
giaoq	叫
henx	很
bix	比
new	呢
gengq	更
dengx	等
cjw	吃
hiangq	像
houq	后
sjy	时
zjx	只
dianx	点
hianw	先
huaq	话
rjuany	玩
dangw	当
rjix	已
rjuenq	问
giangw	将
nieny	您
zjaox	找
rjaiq	爱
taiq	太
sjeiy	谁
niany	年
hienw	新
genw	跟
biey	别
rjuaw	哇
rjanq	按
rjaiw	哎
kiany	前
sjueiq	睡
giaw	加
rjueiy	为
rjueiq	为
kex	可
rjengq	嗯
gaiw	该
kveq	却
rjey	哦
tianw	天
gaow	高
maix	买
rjiaw	呀
gangw	刚
haoq	好
huaiq	坏
faw	发
kvany	全
kaiw	开
rjuanq	万
zjw	之
bangw	帮
hueiy	回
dey	得
niouy	牛
cjangy	长
rjveq	月
maiq	卖
sueiq	岁
zoux	走
zaox	早
liany	连
diw	滴
rjuy	无
suengq	送
fenw	分
heiw	黑
huanq	换
nany	难
zjuq	祝
rjenw	恩
ganq	干
suanq	算
beiw	呗
sjaox	少
caiw	猜
fangq	放
caw	擦
zjuanx	转
cueq	错
lianx	脸
tiew	贴
